degree,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
硕士,16.6,22.3,26.2,30.2,31.9,34.1,36.9,39.8,41.7,40.4
博士,34.9,44.8,52.1,59.7,62.8,70.8,77.7,85.9,89.5,93.1
